"G.U.Pope & Co - Commentary",Transliteration,T.Kannan,"Yogi Shuddhananda Bharatiyar","G.U.Pope & Co - Poems","Ramachandra Dikshitar","Satguru Sivaya Subramuniyaswami","Various Translators",Dinamalar
"There is nothing too difficult for a man
Armed with vigilance.","There is nothing too difficult to be accomplished, if a man set about it carefully, with unflinching endeavour.","There is nothing too difficult for a man
Armed with vigilance.","The impossible doesn’t exist when you do the task diligently, with an alert, incomplacent mind.","Ariyaendru Aakaadha Illaipoch
Chaavaak
Karuviyaal Potrich Cheyin","With cautious care pursue a thing 
Impossible there is nothing.","Though things are arduous deemed, theer's nought may not be won,
When work with mind's unslumbering energy and thought is done.","Nothing is impossible for the thoughtful.","There is nothing too difficult for the man who consciously conceives and carefully executes his work."
"Cherish and perform praiseworthy acts.
To neglect and put off deprives one in seven births.","Let (a man) observe and do these things which have been praised (by the wise); if he neglects and fails to perform them, for him there will be no (happiness) throughout the seven births.","Cherish and perform praiseworthy acts. To
neglect and put off deprives one in seven births.","Do, diligently, deeds that have been extolled; not in seven births will they benefit. those who derisively avoid those deeds.","Pukazhndhavai Potrich Cheyalventum
Seyyaadhu
Ikazhndhaarkku Ezhumaiyum Il","Do what the wise commend as worth 
If not, for seven births no mirth.","No good awaits him in birth to come who fails of his noble deeds.","Let things that merit praise thy watchful soul employ;
Who these despise attain through sevenfold births no joy.","One should do that which men extol as praiseworthy. Forgetfully failing to do so brings deprivation lasting seven births."
"Whenever the mind is engrossed in pleasant infatuations, one should remember men who were ruined by forgetfulness.","Let (a king) think of those who have been ruined by neglect, when his mind is elated with joy.","When the mind is elated with joy,
Think of those who were ruined by neglect.","When the mind is elated with joy, Think of
those who were ruined by neglect.","Think of those who were doomed due to derision and negligence, when you bask smugly in the glory of your might.","When drunk with delight, remember those who have perished through wilful neglect.","Ikazhchchiyin Kettaarai Ulluka
Thaandham
Makizhchchiyin Maindhurum Pozhdhu","When joy deludes, their fate recall 
Whom negligence has made to fall.","Think on the men whom scornful mind hath brought to nought,
When exultation overwhelms thy wildered thought."
"It is easy to get what you think of if you can get yourself to think of it.","It is easy for (one) to obtain whatever he may think of, if he can again think of it.","What is aimed is easy to achieve,
If only the mind is set on what is aimed.","No task is difficult to the thoughtful and diligent.","What is aimed is easy to achieve, If only
the mind is set on what is aimed.","Easy it is, to get what you seek, if you’re focused on that you seek.","Ulliyadhu Eydhal Elidhuman
Matrundhaan
Ulliyadhu Ullap Perin","Easy it is a thing to get 
When the mind on it is set.","Tis easy what thou hast in mind to gain,
If what thou hast in mind thy mind retain."
"Search out, to no one favour show, with heart that justice loves
Consult,then act; this is the rule that right approves.","To examine into (the crimes which may be committed), to show no favour (to any one), to desire to act with impartiality towards all, and to inflict (such punishments) as may be wisely resolved on, constitute rectitude.","Investigate well, show favor to none, maintain impartiality, consult the law, then give judgment—that is the way of justice.","The way is to launch an enquiry, investigate with impartiality,
And dispense as per norms.","Strict enquiry and impartial justice mark the rule of a just monarch.","The way is to launch an enquiry,
investigate with impartiality, And dispense as per
norms.","Investigating intensely, leading fairly without unduly favoring anyone, analysing and acting, constitute justice.","Orndhukan Notaadhu Iraipurindhu
Yaarmaattum
Therndhusey Vaqdhe Murai","Test and attest impartially
Consult and act the laws justly."
"When there is rain, the living creation thrives; and so when the king rules justly, his subjects thrive.","All earth looks up to heav'n whence raindrops fall;
All subjects looks to king that ruleth all.","All the world looks to the rain cloud for sustenance. All the people look to the king’s scepter for protection.","All the world looks up to heaven for rain
And the subjects to their king for justice.","The world looks to rain for its existence. The subjects look to the sceptre for their existence.","All the world looks up to heaven for rain
And the subjects to their king for justice.","The world survives, looking up to the skies for rain; the people live, looking up to their ruler’s sceptre for justice.","Vaanokki Vaazhum Ulakellaam Mannavan
KolNokki Vaazhung Kuti","The earth looks up to sky and thrives 
And mankind to king's rod of justice."
"The Sage's scripture and virtue spring 
From the sceptre of a stately king.","Learning and virtue of the sages spring,
From all controlling sceptre of the king.","Even the <em>Vedas</em> of the <em>brahmins</em> and all dharma therein rely on the sovereign’s sturdy staff for sustenance.","The king’s sceptre is the standing proof of Brahminical books and their teachings.","The scepter of the king furnishes the basic support
To virtue and scriptures.","The scepter of the king furnishes the
basic support To virtue and scriptures.","The scriptures that scholars write and the virtues they extol, have their roots in the sceptre of the ruler.","The sceptre of the king is the firm support of the Vedas of the Brahmin, and of all virtues therein described.","Andhanar Noorkum Araththirkum
Aadhiyaai
Nindradhu Mannavan Kol"
"Kutidhazheeik Kolochchum Maanila
Mannan
Atidhazheei Nirkum Ulaku","The world clings to the ruler's feet
Whose sceptre clasps the people's heart.","Whose heart embraces subjects all, lord over mighty land
Who rules, the world his feet embracing stands.","The world embraces the feet of a great kingdom’s monarch who lovingly embraces subjects under his justice wielding scepter.","The world falls at the feet of a great King who wields the sceptre for his subjects’ welfare.","A great kingdom's monarch who rules embracing his subjects
Has the world embrace his feet.","The world will constantly embrace the feet of the great king who rules over his subjects with love.","A great kingdom's monarch who rules
embracing his subjects Has the world embrace his feet.","The world will embrace the feet of the ruler, who embraces his people and renders justice."
"In the state of the king who rules justly, as befits a king, even monsoons and harvests will happen unfailingly.","Iyalpulik Kolochchum Mannavan Naatta
Peyalum Vilaiyulum Thokku","Full rains and yields enrich the land 
Which is ruled by a righteous hand.","Were king, who righteous laws regards, the sceptre wields,
There fall the showers ,there rich abundance crowns the fields.","Both seasonal rains and waving corn are seen in the land of a righteous monarch.","Rain and rich harvests arise together in a country whose sovereign ruler raises his rod lawfully.","The king who rules according to the law
Never lacks rain and corn.","Rain and plentiful crops will ever dwell together in the country of the king who sways his sceptre with justice.","The king who rules according to the law
Never lacks rain and corn."
"Not his spear but a straight scepter Is
what gives a monarch his triumph.","It is not the spear that gives victory; it is the king’s sceptre, the one that never tilts unjustly.","Velandru Vendri Tharuvadhu Mannavan
Koladhooung Kotaa Thenin","Not the spear but the sceptre straight 
That brings success to monarch's might.","Victory is won not by the spear but by the unswerving sceptre of a monarch.","Not lance gives kings the victory,
But sceptre swayed with equity.","Victory is not won by the lance, but by the king’s scepter, provided it is not crooked.","Not his spear but a straight scepter
Is what gives a monarch his triumph.","It is not the javelin that gives victory, but the king's sceptre, if it do no injustice."
"The king guards all the land, and his own
rule Will guard him if he is straight.","A king protects all the world; he is protected by the justice that he dispenses resolutely.","The king protects the whole world and justice protects him if unfailingly admonished.","Iraikaakkum Vaiyakam Ellaam Avanai
Muraikaakkum Muttaach Cheyin","The king protects the entire earth 
And justice protects his royal worth.","The king all the whole realm of earth protects;
And justice guards the king who right respects.","The potentate protects the whole world, and Justice protects him if he does not stray from Her.","The king defends the whole world; and justice, when administered without defect, defends the king.","The king guards all the land, and his own rule
Will guard him if he is straight."
"The king who does not administer impartial justice goes to ruin.","An indifferent unjust king beyond the
reach of his subjects Will sink beyond and perish.","A king who isn’t readily accessible and doesn’t rule justly, will be ruined by his own lowly deeds.","Enpadhaththaan Oraa Muraiseyyaa
Mannavan
Thanpadhaththaan Thaane Ketum","Hard of access, the unjust king 
He shall himself his ruin bring.","Hard of access, nought searching out, with partial hand
The king who rules, shall sink and perish from the land.","An inaccessible ruler who listens and adjudicates inattentively will inevitably plummet from power and perish.","The king who gives not facile audience (to those who approach him), and who does not examine and pass judgment (on their complaints), will perish in disgrace.","An indifferent unjust king beyond the reach of his subjects
Will sink beyond and perish."
"To punish crime is the duty, not the fault of the king who attends to the welfare of his subjects.","For a king who would guard and cherish his
people, To punish crimes is a duty, not defect.","To punish a crime, in order to protect and nurture one’s subjects, is not a blot on the king but his duty.","Kutipurang Kaaththompik Kutram
Katidhal
Vatuvandru Vendhan Thozhil","Save his subjects and chide the wrong 
Is flawless duty of a king.","Abroad to guard, at home to punish, brings
No just reproach; 'tis work assigned to kings.","In guarding his subjects (against injury from others), and in preserving them himself; to punish crime is not a fault in a king, but a duty.","No fault befalls a king who, in guarding and caring for his subjects, punishes wrongdoers—for that is his duty.","For a king who would guard and cherish his people,
To punish crimes is a duty, not defect."
"Punishing murderers with death is like plucking out weeds among the crops.","A king punishing criminals by execution Is
like a farmer removing weeds from his fields.","The king punishing, severely, those brutal murderers, is akin to clearing weeds from the crop.","Kolaiyir Kotiyaarai Vendhoruththal
Paingoozh
Kalaikat Tadhanotu Ner","Killing killers, the king, behold 
Weeds removes from cropful field.","For a king to punish criminals with death, is like pulling up the weeds in the green corn.","By punishment of death the cruel to restrain,
Is as when farmer frees from weeds the tender grain.","A ruler’s punishing cruel criminals by execution is like a gardener’s removing weeds from his garden.","A king punishing criminals by execution
Is like a farmer removing weeds from his fields."
"More malicious than a murderer is the king
Who rules with injustice and oppression.","More malicious than a murderer is the king
Who rules with injustice and oppression.","He is worse than assassins, the ruler who harries his citizens, and indulges in unjust acts.","The king who gives himself up to oppression and acts unjustly (towards his subjects) is more cruel than the man who leads the life of a murderer.","Kolaimerkon Taarir Kotidhe
Alaimerkontu
Allavai Seydhozhukum Vendhu","The unjust tyrant oppressor 
Is worse than cruel murderer.","Than one who plies the murderer's trade, more cruel is the king
who all injustice works, his subjects harassing.","More malicious than a professional murderer is the monarch who rules his people with injustice and oppression.","The unrighteous king who oppresses his subjects is more cruel than the one who leads the life of a murderer."
"A tyrant taxing his subjects
Is like an armed dacoit extorting money.","The request (for money) of him who holds the sceptre is like the word of a highway robber who stands with a weapon in hand and says ""give up your wealth"".","A tyrant taxing his subjects Is like an
armed dacoit extorting money.","The extortion and graft done wielding the sceptre is no different from robbery done pointing a spear.","Velotu Nindraan Ituven Radhupolum
Kolotu Nindraan Iravu","Sceptered tyrant exacting gold 
Is ""give"" of lanced robber bold.","As 'Give' the robber cries with lance uplift,
So kings with sceptred hand implore a gift.","A scepter wielding king requesting a gift is like a lance bearing robber demanding, “Give me all you have.”","The wielder of the sceptre asking for gifts, is like the spearman asking the way-farer ‘give.’"
"A king who fails in his day today affairs
Loses his kingdom day by day.","The country of the king who does not daily examine into the wrongs done and distribute justice, will daily fall to ruin.","A king who fails in his day today affairs
Loses his kingdom day by day.","The ruler who doesn’t assess and administer justly, day after day, will let his state rot day by day.","Naatorum Naati Muraiseyyaa Mannavan
Naatorum Naatu Ketum","Spy wrongs daily and do justice 
Or day by day the realm decays.","Who makes no daily search for wrongs, nor justly rules, that king
Doth day by day his realm to ruin bring.","That country will perish any day whose monarch does not administer justice day by day.","Day to day the king must seek out and punish unlawfulness, or day by day his country will plummet toward ruin."
"A thoughtless king who abuses his scepter
Will lose at once his wealth and subjects.","The king, who, without reflecting (on its evil consequences), perverts justice, will lose at once both his wealth and his subjects.","A thoughtless king who abuses his scepter
Will lose at once his wealth and subjects.","The king who lets his sceptre tilt towards tyranny will lose all his wealth, people and state.","Koozhung Kutiyum Orungizhakkum
Kolkotich
Choozhaadhu Seyyum Arasu","The king shall wealth and subjects lose 
If his sceptre he dares abuse.","That king who allows his sceptre to bend indiscriminately will lose his wealth together with his subjects.","Whose rod from right deflects, who counsel doth refuse,
At once his wealth and people utterly shall lose.","Without thinking, a king rules crookedly, and thus forfeits his subjects’ loyalty, together with his own fortune."
"Are not the tears of a people who cannot bear their monarch’s oppressive reign the force that erodes his prosperity?","Will not the tears, shed by a people who cannot endure the oppression which they suffer (from their king), become a saw to waste away his wealth ?","It is the tears of those groaning under oppression
That wear out the prosperity of the king.","It is the tears of those groaning under
oppression That wear out the prosperity of the king.","The tears shed by citizens subjected to intolerable grief are the weapons that erode the rulers’ wealth.","Are not the tears, shed as a result of oppression, the weapons which destroy the prosperity of the monarch?","Allarpattu Aatraadhu Azhudhakan
Neerandre
Selvaththaith Theykkum Patai","Groaning tears caused by tyrant's sway
File the royal wealth away.","His people's tears of sorrow past endurance , are not they
Sharp instruments to wear the monarch's wealth away?"
"Ruling rightly, a monarch may long endure. Without that, his majesty is rightfully unenduring.","Righteous government gives permanence to (the fame of) kings; without that their fame will have no endurance.","Just rule stabilizes a king.
Lacking it his glory fades.","Good Government makes one’s rule enduring. Where it is not found, his lustre will not last long?","Just rule stabilizes a king. Lacking it
his glory fades.","Just rule yields lasting fame to a ruler; no justice, no fame.","Mannarkku Mannudhal Sengonmai
Aqdhindrel
Mannaavaam Mannark Koli","Glory endures by sceptre right
Without it wanes the royal light.","To rulers' rule stability is sceptre right;
When this is not, quenched is the rulers' light."
"As lack of rain to thirsty lands beneath,
Is lack of grace in kings to all that breathe.","As is the world without rain, so live a people whose king is without kindness.","As the Earth fares under a rainless sky, so do a people languish under an unkind king.","How fares the earth without rain?
So fares life under a ruthless king.","The people who live under a graceless king suffer like the earth unvisited by drops of rain.","How fares the earth without rain? So fares
life under a ruthless king.","Just as lack of rain is to the world, so is to mankind. rulers’ lack of benevolence.","Thuliyinmai Gnaalaththirku Etratre
Vendhan
Aliyinmai Vaazhum Uyirkku","Dry like the earth without rainfall 
Is graceless king to creatures all."
"Property gives more sorrow than poverty, to those who live under the sceptre of a king without justice.","To poverty it adds a sharper sting,
To live beneath the sway of unjust king.","Possessions hold less pleasure than poverty for oppressed subjects living under an unjust king.","Possessions are worse than poverty
Under the scepter of an unjust king.","Where people possess a king, who does not enforce justice, wealth does not confer more happiness than poverty.","Possessions are worse than poverty Under
the scepter of an unjust king.","Being wealthy is worse than being poor, under an unjust ruler.","Inmaiyin Innaadhu Utaimai
Muraiseyyaa
Mannavan Korkeezhp Patin","To have is worse than having not 
If ruler is unjust despot."
"The sky withdraws season's shower
If the king misuses his power.","Where king from right deflecting, makes unrighteous gain,
The seasons change, the clouds pour down no rain.","If the king acts contrary to justice, contrary seasons will befall the land and rain laden clouds will fail to come forth.","Were the king to rule unjustly, the Heavens would withhold rains?","If a king acts contrary to justice,
Monsoons fail and clouds shed no rain.","If a king acts contrary to justice,
Monsoons fail and clouds shed no rain.","If the king lets his sceptre of justice waver, the skies won’t yield and monsoons will fail.","If the king acts contrary to justice, rain will become unseasonable, and the heavens will withhold their showers.","Muraikoti Mannavan Seyyin Uraikoti
Ollaadhu Vaanam Peyal"
"Aapayan Kundrum Arudhozhilor
Noolmarappar
Kaavalan Kaavaan Enin","The <sup>*</sup>six functioned forget their lore 
Cows give less if kings guard no more.","Where guardian guardeth not, udder of kine grows dry,
And Brahmans' Sacred lore will all forgoten lie.","If the people’s protector fails to protect <em>brahmins</em> will forget the <em>Vedas</em> and cows’ milk will dry up.","If the protecting monarch fails in his duties, the yield of cows will diminish and Brahmans with their six duties will forget their Vedas.","Cows yield less and priests forget their hymns
If the protector fails to protect.","If the guardian (of the country) neglects to guard it, the produce of the cows will fail, and the men of six duties viz., the Brahmins will forget the vedas.","Cows yield less and priests forget their
hymns If the protector fails to protect.","The cows’ milk will dry up; the brahmans will forget the scriptures; when the king stops being their saviour."
"Investigating neutrally, and punishing appropriately, so as to deter the repeat of a crime, is the duty of the king.","Thakkaangu Naatith Thalaichchellaa
Vannaththaal
Oththaangu Oruppadhu Vendhu","A king enquires and gives sentence
Just to prevent future offence.","Who punishes, investigation made in due degree,
So as to stay advance of crime, a king is he.","A righteous king investigates and fittingly punishes the wrongdoer so that he may not repeat it.","He is a true king who impartially investigates and then duly punishes so that the offense will not recur.","Call him king who probes and whose punishment
Is deterrent and proportionate.","He is a king who having equitably examined (any injustice which has been brought to his notice), suitably punishes it, so that it may not be again committed.","Call him king who probes and whose
punishment Is deterrent and proportionate."
"Raise your hand forcibly but bring it
lightly To have a lasting effect.","Raise the sceptre swift and stern, but land it softly, those who wish never to lose what they possess.","Katidhochchi Mella Erika
Netidhaakkam
Neengaamai Ventu Pavar","Wield fast the rod but gently lay
This strict mildness prolongs the sway.","If you wish enduring prosperity behave as if you punish excessively, but do it mildly.","For length of days with still increasing joys on Heav'n who call,
Should raise the rod with brow severe, but let it gently fall.","He who wishes his prosperity to long remain will raise the rod severely, but let it fall softly.","Raise your hand forcibly but bring it lightly
To have a lasting effect.","Let the king, who desires that his prosperity may long remain, commence his preliminary enquires wi th strictness, and then punish with mildness."
"A dictator causing oppression Will have a
speedy and certain end.","A king will be isolated and will face rapid ruin, if he becomes a tyrant indulging in terrifying deeds.","The tyrant who terrifies his subjects will soon perish.","Veruvandha Seydhozhukum Vengola
Naayin
Oruvandham Ollaik Ketum","His cruel rod of dreadful deed 
Brings king's ruin quick indeed.","Where subjects dread of cruel wrongs endure,
Ruin to unjust king is swift and sure.","The tyrant who causes dread in his people will perish quickly and inevitably.","The cruel-sceptred king, who acts so as to put his subjects in fear, will certainly and quickly come to ruin.","A dictator causing oppression
Will have a speedy and certain end."
"That king whom people speak of as a tyrant will rapidly perish.","When a king is decried a tyrant, His life
is shortened and end becomes imminent.","My king. he is a tyrant : such a denouncement is certain to hasten a king’s downfall.","Iraikatiyan Endruraikkum Innaachchol
Vendhan
Uraikatuki Ollaik Ketum","As men the king a tyrant call 
His days dwindled, hasten his fall.","Ah! cruel is our king', where subjects sadly say,
His age shall dwindle, swift his joy of life decay.","“Our king is cruel.” When these bitter words are spoken, the monarch’s life is shortened, and he soon succumbs.","The king who is spoken of as cruel will quickly perish; his life becoming shortened.","When a king is decried a tyrant,
His life is shortened and end becomes imminent."
"The great wealth of a king who is inaccessible and assumes a fearful look, is no better than in the possession of a demon.","The great wealth of one inaccessible and
sour-faced Is no better than a demon's.","Inaccessible and has a harsh countenance. his huge wealth resembles a treasure protected by demons.","Arunjevvi Innaa Mukaththaan
Perunjelvam
Peeykan Tannadhu Utaiththu","Whose sight is scarce, whose face is foul 
His wealth seems watched by a ghoul.","Whom subjects scarce may see, of harsh forbidding countenance;
His ample wealth shall waste, blasted by demon's glance.","The great wealth of him who is difficult of access and possesses a sternness of countenance, is like that which has been obtained by a devil.","If a man’s countenance is harsh and access to him is hard, his wealth, however vast, might as well belong to a demon.","The great wealth of one inaccessible and sour-faced
Is no better than a demon's."
"The abundant wealth of a king who utters harsh words and puts on unkind looks will not last long.","If he is unkind and speaks harsh, His
lofty wealth ends there without lasting long.","If he is of harsh words, and has no compassion, his extensive wealth will become extinct soon.","Katunjollan Kannilan Aayin
Netunjelvam
Neetindri Aange Ketum","Whose word is harsh, whose sight is rude 
His wealth and power quickly fade.","The abundant wealth of the king whose words are harsh and whose looks are void of kindness, will instantly perish instead of abiding long, with him.","The tyrant, harsh in speach and hard of eye.
His ample joy, swift fading, soon shall die.","If a man is unkind and speaks cruelly, his vast wealth will not last long before perishing.","If he is unkind and speaks harsh,
His lofty wealth ends there without lasting long."
"Harsh words and excessive punishments
Are files that grind down a king's might.","Harsh words and excessive punishments Are
files that grind down a king's might.","Harsh words and excessive punishments form the saw that files away the king’s military might.","Severe words and excessive punishments will be a file to waste away a king's power for destroying (his enemies).","Katumozhiyum Kaiyikandha Thantamum
Vendhan
Atumuran Theykkum Aram","Reproofs rough and punishments rude 
Like files conquering power corrode.","Harsh words and punishments severe beyond the right,
Are file that wears away the monarch's conquering might.","Harsh language and overly severe punishment, like a keen file, grind down a king’s conquering powers.","Severity in speech and excess in punishment are like the file which removes his capacity to destroy (his enemies)."
"The king who rages but not reflect on his counsel,
Will soon see his wealth shrink.","The prosperity of that king will waste away, who without reflecting (on his affairs himself), commits them to his ministers, and (when a failure occurs) gives way to anger, and rages against them.","The king who rages but not reflect on his
counsel, Will soon see his wealth shrink.","When the king doesn’t take counsel of his advisers, and tends to explode with rage, his wealth starts imploding.","Inaththaatri Ennaadha Vendhan
Sinaththaatrich
Cheerir Sirukum Thiru","The king who would not take counsels 
Rages with wrath his fortune fails.","Who leaves the work to those around, and thinks of it no more;
If he in wrathful mood reprove, his prosperous days are o'er!","A king’s wealth wanes when, without thoughtful involvement, he lets ministers work, then furiously faults their efforts.","The prosperity of a king who does not consult his advisers but makes them the victims of his fury will shrink."
"A king who neglects his defences,
Will die of fright at the time of war.","The king who has not provided himself with a place of defence, will in times of war be seized with fear and quickly perish.","A king who neglects his defences, Will die
of fright at the time of war.","When the foes strike, a king who has not built his defences, will fall swiftly, trembling with fear.","Seruvandha Pozhdhir Siraiseyyaa
Vendhan
Veruvandhu Veydhu Ketum","The king who builds not fort betimes 
Fears his foes in wars and dies.","Who builds no fort whence he may foe defy,
In time of war shall fear and swiftly die.","If a king who has no fortress meets a foe, he will be ruined by fear.","The sovereign who does not secure defenses will be seized by fear when wartime comes and promptly perish."
"The earth bears no heavier burden
Than a tyrant surrounded by ignorant men.","The earth bears up no greater burden than ignorant men whom a cruel sceptre attaches to itself (as the ministers of its evil deeds).","The earth bears no heavier burden Than a
tyrant surrounded by ignorant men.","A tyrant will assemble an ensemble of the unlearned; but for them, there is no burden for the earth.","Kallaarp Pinikkum Katungol
Adhuvalladhu
Illai Nilakkup Porai","The crushing burden borne by earth 
Is tyrants bound to fools uncouth.","No burden is harder for the earth to bear than the cruel sceptre wielded by the unwise.","Tyrants with fools their counsels share;
Earth can no heavier burthen bear!","Earth bears no greater burden than crude counselors that a cruel sceptered king binds to his court."
"The fairest graciousness, they say, is a kindly look. Wherever it thrives, the whole world flourishes.","The world exists through that greatest ornament (of princes), a gracious demeanour.","What truly moves this world
Is that ravishing beauty called compassion.","What truly moves this world Is that
ravishing beauty called compassion.","There exists this stupendous beauty called compassion; and therefore, the world exists.","The world exists because of the existence of the most beautiful virtue called kindliness.","Kannottam Ennum Kazhiperung Kaarikai
Unmaiyaan Untiv Vulaku","Living in the world implies 
The bounteous dame of benign eyes.","Since true benignity, that grace exceeding great, resides
In kingly souls, world in happy state abides."
"It is compassion that sustains the world’s existence. The existence of those bereft of it is a burden to the Earth.","The prosperity of the world springs from the kindliness, the existence of those who have no (kindliness) is a burden to the earth.","Compassion sustains the world.
Without it men are but a burden on earth.","The world lives through kindliness; those who do not have it are a burden to the earth.","Compassion sustains the world. Without it
men are but a burden on earth.","It is compassion that keeps the world functioning as it should; there are those who lack it, and they burden the earth.","Kannottath Thulladhu Ulakiyal
Aqdhilaar
Unmai Nilakkup Porai","World lives by looks of lovely worth
Who lack them are burdens of earth.","The world goes on its wonted way, since grace benign is there;
All other men are burthen for the earth to bear."
"Where not accordant with the song, what use of sounding chords?
What gain of eye that no benignant light affords?","Of what avail is a song if it be inconsistent with harmony ? what is the use of eyes which possess no kindliness.","What use is melody in an unmusical song? What use are eyes that express no sympathy?","What use is a rāgā that cannot be sung?
Or eyes without sympathy?","What is the use of a song that could not be enjoyed? Likewise, what is the use of the eyes that have no kindliness?","What use is a rāgā that cannot be sung? Or
eyes without sympathy?","Of what use is a tune that can’t suit any song? of what use are eyes, which have no compassion?","Panennaam Paatarku Iyaipindrel
Kanennaam
Kannottam Illaadha Kan","Of tuneless song what is the use? 
Without gracious looks what are eyes?"
"Beyond appearing to be in the face, what good do they do, those eyes in which is no well-regulated kindness ?","The seeming eye to face gives no expressive light,
When not with duly meted kindness bright.","Other than being facial ornaments, what do eyes with no quality of kindness really do?","What use are eyes that look like eyes
But lack boundless sympathy?","What is the use of one’s eyes if they do not beam with immeasurable love?","What use are eyes that look like eyes But
lack boundless sympathy?","An eye that is not abound with compassion, what purpose is it serving on the face, feigning existence?","Ulapol Mukaththevan Seyyum Alavinaal
Kannottam Illaadha Kan","Except that they are on the face 
What for are eyes sans measured grace."
"Kind looks are jewels for eyes to wear 
Without them they are felt as sore.","Benignity is eyes ' adorning grace;
Without it eyes' are wounds disfiguring face.","A compassionate glance is the eyes’ true ornament. Without such kindness, eyes become unsightly sores.","Kindliness is the fitting ornament for the eyes. They are a sore, where it is absent.","Compassion is an ornament of the eyes.
Without it eyes are deemed sores.","Compassion is an ornament of the eyes.
Without it eyes are deemed sores.","Eyes are adorned by compassion; but for it, they would be considered wounds.","Kind looks are the ornaments of the eyes; without these they will be considered (by the wise) to be merely two sores.","Kannirku Anikalam Kannottam
Aqdhindrel
Punnendru Unarap Patum"
"Manno Tiyaindha Maraththanaiyar
Kanno
Tiyaindhukan Notaa Thavar","Like trees on inert earth they grow 
Who don't eye to eye kindness show.","Whose eyes'neath brow infixed diffuse no ray
Of grace; like tree in earth infixed are they.","Eyes that remain unmoved by pity might as well be unmovable tree stumps bound in earth.","Those whose eyes do not reflect love resemble trees that stand on the earth.","Like trees earth-bound which cannot move
Are eyes unmoved by pity.","They resemble the trees of the earth, who although they have eyes, never look kindly (on others).","Like trees earth-bound which cannot move
Are eyes unmoved by pity.","Trees rooted to the land they resemble, those though born with eyes, don’t use them to be compassionate."
"Those who lack compassion have no eyes; who truly have eyes can’t lack compassion.","Kannottam Illavar Kannilar
Kannutaiyaar
Kannottam Inmaiyum Il","Ungracious men lack real eyes
Men of real eyes show benign grace.","Eyeless are they whose eyes with no benignant lustre, shine;
Who've eyes can never lack the light of grace benign.","Verily they are blind who have no kindly look.","Those who lack a kindly look are indeed without eyes, and those who truly have eyes never lack a gracious look.","Men without sympathy have no eyes;
Nor those who have eyes lack sympathy.","Men without kind looks are men without eyes; those who (really) have eyes are also not devoid of kind looks.","Men without sympathy have no eyes; Nor
those who have eyes lack sympathy."
"This world is theirs who compassionately
perform Their duties without fail.","The world belongs to those who do their duty unfalteringly, while being compassionate.","Karumam Sidhaiyaamal Kannota
Vallaarkku
Urimai Utaiththiv Vulaku","Who gracious are but dutiful 
Have right for this earth beautiful.","The world belongs to a king who can do his duty and yet be courteous.","Who can benignant smile, yet leave no work undone;
By them as very own may all the earth be won.","This world belongs to those who, while neglecting no duty, never neglect to behold others benevolently.","This world is theirs who compassionately perform
Their duties without fail.","The world is theirs (kings) who are able to show kindness, without injury to their affairs, (administration of justice)."
"That quality of forbearance and sympathy
is the best, Even to those who hurt us.","Being compassionate and patient, even with those who hurt us, is a quality, most admirable.","It behoves a king to put up with the doer of harm and even be kind to him.","Oruththaatrum Panpinaar Kannumkan
Notip
Poruththaatrum Panpe Thalai","To be benign and bear with foes 
Who vex us is true virtue's phase.","To smile on those that vex, with kindly face,
Enduring long, is most excelling grace.","To grant forbearing kindness even to those who aggrieve us is the foremost of virtues.","Patiently to bear with, and show kindness to those who grieve us, is the most excellent of all dispositions.","That quality of forbearance and sympathy is the best,
Even to those who hurt us."
"Those who wish to acquire loveable urbanity will knowingly swallow even the poison served.","Those desirous of refinement will drink
with smile Even hemlock when offered.","Even after seeing poison being poured, they will consume it and converse cordially, they who seek to be captivatingly civilized and compassionate.","Peyakkantum Nanjun Tamaivar
Nayaththakka
Naakarikam Ventu Pavar","Men of graceful courtesy 
Take hemlock and look cheerfully.","They drink with smiling grace, though poison interfused they see,
Who seek the praise of all esteemed courtesy.","Desiring to be gracious above all else, guests may politely accept even poison they watched their host prepare and serve.","Those who desire (to cultivate that degree of) urbanity which all shall love, even after swallowing the poison served to them by their friends, will be friendly with them.","Those desirous of refinement will drink with smile
Even hemlock when offered."
"Verily the two eyes of a king are espionage and the celebrated code of laws.","Spies and classics on statecraft: These
two are a king's pair of eyes.","Intelligence operations and highly regarded books. a king should consider them his eyes.","Otrum Uraisaandra Noolum
Ivaiyirantum
Thetrenka Mannavan Kan","A king should treat these two as eyes 
The code of laws and careful spies.","These two: the code renowned, and spies,
In these let king confide as eyes.","Let a king consider as his eyes these two things, a spy and a book (of laws) universally esteemed.","Competent spies and the respected codes of law— consider these two the eyes of a king.","Spies and classics on statecraft:
These two are a king's pair of eyes."
"A king’s duty is to get day to day knowledge of everything that happens.","A king's job is to know in time everything
That happens to everyone every day.","Knowing everything that happens to everyone. to always gain such intelligence at great speed is the duty of a king.","Ellaarkkum Ellaam Nikazhpavai
Egngnaandrum
Vallaridhal Vendhan Thozhil","All that happens, always, to all 
The king should know in full detail.","It is the duty of a king to know quickly (by a spy) what all happens, daily, amongst all men.","Each day, of every subject every deed,
'Tis duty of the king to learn with speed.","Duty requires the monarch to swiftly acquire knowledge of all happenings among all men each day.","A king's job is to know in time everything
That happens to everyone every day."
